Episode,Distance (m),Time (s),Avg Speed (m/s),Total Reward
1,40.51831901780141,7.050777912139893,5.746645196133288,-2.189629918331633
2,27.05579103332981,1.8726882934570312,14.447567770813645,-15.928274375244541
3,87.97044413004183,4.878458023071289,18.032428220968686,199.73325427612826
4,32.15224997354036,3.036982774734497,10.586905609417299,-1.1058614729339098
5,27.002916556475444,2.8829920291900635,9.36628207191455,-12.374727782427343
6,40.16168747680159,8.702903509140015,4.614745806916363,13.206749257254188
7,15.12001881871689,8.897564888000488,1.6993434730785928,-117.01934492687573
8,24.847659261534954,6.608187675476074,3.7601321998992487,-61.6970268069618
9,31.35399413811395,18.724764108657837,1.67446670922902,1.0936209714519265
10,31.955897112855773,5.072773218154907,6.29949255340039,-19.061951379579725
11,98.01831514732943,1.900282382965088,51.58092082840208,263.35727307856064
12,75.11959776421136,15.275843381881714,4.9175417609549985,172.78958477146574
13,68.07630190051485,15.254287004470825,4.4627652462919185,141.5686850036924
14,72.78158555476611,2.1115875244140625,34.46770958497779,162.8295172682569
15,44.500464404168376,1.3771297931671143,32.31392177045745,58.813166119632086
16,68.00456801883573,1.6515798568725586,41.17546465334687,147.59374165052645
17,69.5838091113335,1.5358781814575195,45.305552192492094,151.30408745522715
18,71.28246364608994,1.5739338397979736,45.289364675734774,158.74576401676558
19,74.31711892644798,1.8758633136749268,39.61755549281273,169.1700008961676
20,67.34420762038793,14.750393152236938,4.5655872982731305,139.37150014839096
21,30.746354509421845,6.652730464935303,4.621614338875948,-42.076025948629706
22,70.12186654334731,1.6672282218933105,42.0589488724685,152.40899080769645
23,68.11942729083721,1.5408544540405273,44.208865485127475,147.7976486160764
24,99.45257649586365,2.0672338008880615,48.10901236867348,267.0139707229431
25,73.96748628049056,1.7712349891662598,41.76040261902679,170.02751002953255
26,96.2339428508024,1.9875690937042236,48.41791068075608,254.95459560542014
27,45.004028958305604,1.3009159564971924,34.59410943000662,59.71711191905851
28,69.81884284009851,15.048689603805542,4.639529731707841,150.16040699045658
29,38.511066760325306,1.088245153427124,35.38822721980012,34.8069326591754
30,78.66342063128168,1.74155592918396,45.168472233987316,194.9810950383618
31,71.13081784366241,6.177314519882202,11.514844778377714,127.84977067926903
32,259.9615964989334,4.456006050109863,58.33959684424666,891.1484315151457
33,229.72912295699675,21.745416164398193,10.564485003193983,784.7487663122943
34,76.11726909192335,6.904480218887329,11.024330098550097,152.9766939792965
35,217.17566776206206,5.879115104675293,36.940196593421994,723.5419604887707
36,115.47585933501198,5.853788137435913,19.726689217965603,319.3272942251008
37,55.827888732103915,6.322871685028076,8.829514738421585,96.0188121973388
38,114.30533004837805,8.453636407852173,13.521439122009715,323.3370699302293
39,43.240944383821926,2.9688620567321777,14.564820984447211,46.64446744841251
40,67.70989685707109,7.237004518508911,9.356066682548073,120.93812781954895
41,26.31152584961746,3.051661491394043,8.622032923316791,-10.782030417973772
42,33.846762622599876,3.3241689205169678,10.18202246392945,15.703413621659678
43,114.65692170651717,6.895127773284912,16.628687020239713,320.4693306667466
44,40.95872885648319,2.3673858642578125,17.301247538421016,43.93054024817823
45,182.99744899510486,7.359358072280884,24.865952600453983,586.746007060086
46,64.3480908395628,2.5970003604888916,24.777852101433332,132.09321806487415
47,54.577945221874806,3.673795461654663,14.856010845332449,93.77948598555926
48,107.49994305893013,4.687833786010742,22.9316882735321,300.7420725034549
49,231.50430554895652,27.293834447860718,8.481926787941727,793.4533828275424
50,227.57245479832116,27.122626781463623,8.390502020027451,781.6485139524126
51,93.55163802968887,4.231719255447388,22.107241143008757,244.7389143405274
52,21.892661563219164,15.039056539535522,1.4557204107629025,-98.11035522073473
53,37.07741169065471,1.9829504489898682,18.69810297556465,30.318970104374444
54,72.28878257050913,3.3154942989349365,21.80331982284845,159.47433574443437
55,23.62276063830189,21.409855365753174,1.1033591883151364,-32.19785018238619
56,53.66006739244423,19.824673175811768,2.706731501526859,84.81168805733094
57,111.30248356503772,5.313816070556641,20.945866790865118,304.9688166624647
58,152.70755975307378,4.674536466598511,32.667957741742356,467.50638921661084
59,304.23297976220795,8.751906156539917,34.7619106421597,1036.5451163037706
60,151.31080423335584,4.475964307785034,33.80518561557368,464.8471238554281
61,36.366367459212526,1.4890546798706055,24.422452681437232,29.891784485611424
62,70.19071710906456,2.1039090156555176,33.36204968312052,152.6002532245053
63,71.09160879502633,1.9441227912902832,36.567447855412446,158.435840153146
64,26.535300403351073,19.283220767974854,1.3760823838837293,-20.100839686556448
65,69.09438925041081,2.180757761001587,31.683660829287557,149.66166998029166
66,33.946193671699625,10.366798639297485,3.274510758125424,-51.278658894928284
67,48.12895761224318,1.3513743877410889,35.61482150974749,72.68099808936515
68,304.04655078745463,4.679440259933472,64.97498288219995,1050.4668821268554
69,302.82413624856173,3.8221445083618164,79.22885583893141,1052.7296090007978
70,69.71025943144265,1.5152983665466309,46.0043123984305,151.68984315421
71,69.7865780410387,1.398099660873413,49.915310041232686,152.05759447571654
72,69.66743810090145,1.5567126274108887,44.752921556737,150.28436972751126
73,54.87207896078321,4.4024739265441895,12.46391912282287,66.85784375710205
74,72.62752918320474,2.303009033203125,31.53592892433914,159.5343334777251
75,20.720064821545705,4.7276365756988525,4.382753303849886,-70.35039647433715
76,122.58130384769481,7.580840349197388,16.169883311244373,297.4813058205222
77,20.228007728958953,0.8295323848724365,24.384831861711543,-34.21889770061112
78,85.34445177281182,1.7125449180603027,49.83486907279278,215.76653388961017
79,70.28822589122329,1.506288766860962,46.66318134848791,151.87288958580461
