Episode,Distance (m),Time (s),Avg Speed (m/s),Total Reward
1,32.79454581687239,0.967292308807373,33.90344936920522,17.37004121953791
2,77.33850000272292,2.352466583251953,32.87549355783552,179.3372152380859
3,67.99137471869982,2.9879140853881836,22.7554651089864,134.78220193276763
4,55.735650569593844,1.7168612480163574,32.4636895579012,99.6508192186956
5,67.77317974291834,1.279477834701538,52.96940510011078,148.84527137405786
6,71.4870184530719,1.597306489944458,44.754728602872994,161.55472557671328
7,80.10086498206654,3.0626413822174072,26.154177060087942,180.17709736854022
8,38.64934737654813,1.2661070823669434,30.52612840952956,34.438977404522234
9,69.85444237116438,1.6254675388336182,42.97498455200749,153.49923109530243
10,77.59486067890788,1.4198989868164062,54.64815553737763,184.05192328972055
11,69.52883358266371,2.0041921138763428,34.69170101073134,147.17542555936126
12,69.31224946694866,1.6570591926574707,41.828469238802946,150.94621705983621
13,69.59464412007956,1.4364244937896729,48.44991464638022,152.8068894488007
14,130.12549537583234,2.2496466636657715,57.84263701384752,382.91989937085145
15,76.93925667882512,3.1830155849456787,24.17181274346106,168.099299529642
16,77.69684773518932,1.5493285655975342,50.148722137078614,182.45761684205132
17,75.2388749019845,1.4426040649414062,52.154902880466,176.33354852008944
18,167.25363195908292,3.031895160675049,55.16471483857115,538.0363521548678
19,238.76157547017343,3.066790819168091,77.85388360297127,817.5575758148799
20,279.89347691625454,3.7104828357696533,75.43316848633182,981.1567496380403
21,127.50941240744908,2.4576363563537598,51.882945203751284,377.0486608988411
22,284.62884207211323,4.0128583908081055,70.9292016693355,989.1695641741167
23,77.14539010837466,1.9728944301605225,39.10264478880292,178.0219297931676
24,68.21778854854604,1.532109260559082,44.52540710030868,150.2554894458163
25,19.916607532824194,13.994001626968384,1.4232246117823888,-41.88398605408871
26,114.31949761156918,2.1665165424346924,52.76650114247408,327.63794222559653
27,30.18297150758662,0.9429569244384766,32.00885504452957,5.056581662761161
28,75.07398690572558,1.5614373683929443,48.08005010344596,172.4123957800236
29,147.6330373576171,9.944072484970093,14.846335601510965,385.95252598567055
30,28.711854411132315,1.7052288055419922,16.8375377649139,-5.702748217312475
31,108.11280305500837,1.8731443881988525,57.71728209322171,293.0502531090003
32,56.36611194260443,1.3739523887634277,41.02479271012771,104.34064477106287
33,173.63398900413054,4.72906231880188,36.71636728359316,547.2253451224268
34,112.69509469868767,2.0243308544158936,55.67029443475288,319.996378747804
35,128.08319013855683,2.218536376953125,57.73319359066028,378.21946489493797
36,68.50483083093508,1.3321027755737305,51.426085199342346,150.92967738459942
37,82.75937515824151,1.8661978244781494,44.34651786253355,209.04876078398274
38,52.7764511651844,1.274747610092163,41.40149057535296,90.61273865869975
39,273.60224545572305,4.496323108673096,60.85021891063907,947.2683973230687
40,312.62513883537986,6.84961462020874,45.64127416935651,1083.3435223490999
41,122.99943269426241,2.2632110118865967,54.34731098790959,357.043165076966
42,349.97281227882934,4.534775257110596,77.17533779211367,1234.1323859072475
43,57.32454740375473,1.7297706604003906,33.13996977523355,103.9230083265104
44,39.21844212614529,1.2116961479187012,32.3665649952835,38.55623324730493
45,37.585547297178906,1.1488146781921387,32.716806296666014,33.69602823538949
46,105.66565072014896,2.8783092498779297,36.711013844197,273.6361200458412
47,128.11226440620044,3.621539831161499,35.37508087136303,377.7412711414835
48,290.2837419067522,5.613004207611084,51.71628795737142,1002.1264925001612
49,177.52813045736602,8.391416072845459,21.15592039725516,537.5519321850002
50,262.4719399226563,9.9013090133667,26.508812074072324,850.7673887580902
51,111.57222388904626,4.037875413894653,27.631418122787366,304.12914846437394
52,290.28231307849313,3.9763996601104736,73.00129209608383,1001.7689996497895
53,300.7725576793238,4.236521005630493,70.99517676876522,1049.331485854078
54,351.61051754272285,10.90714406967163,32.23671708164284,1200.6861368357681
55,230.78476606453714,3.713207721710205,62.152398508490606,779.669091119776
56,386.6621520249179,6.49519419670105,59.53049906056789,1385.4395715998842
57,243.85219009582025,4.66832160949707,52.23551642194828,822.1674438675253
58,233.91475956317456,3.75093936920166,62.36164772051763,790.8012253712199
59,57.076084989390345,1.438002347946167,39.6912321255313,109.00554121142119
60,284.2760058926205,4.295553207397461,66.17913739330778,998.0454975654193
61,77.5718649580998,2.0073773860931396,38.643388879195314,179.97243729443989
62,285.6023910189986,5.732386350631714,49.82259979520135,973.634039208486
63,392.82605812761005,7.675119400024414,51.1817520553961,1384.2588089425174
64,285.30652021571467,5.5596394538879395,51.317450094033624,977.239416684947
65,150.75846057245334,4.228175401687622,35.6556779816372,456.5050277214616
66,194.8533650062417,2.841139316558838,68.58282656911253,648.4603080534531
67,73.30600991985094,1.3391187191009521,54.7419798366097,167.8934441967413
68,111.77234126188499,1.7117364406585693,65.29763496702914,322.06567962377716
69,63.430726340097834,1.3679938316345215,46.36769908845922,130.30887031791218
70,225.43697407701828,2.9369964599609375,76.75765944914235,759.8277427012066
71,94.97175976384537,1.7278578281402588,54.965031391538794,253.87805915348997
72,296.98417452669,6.018604755401611,49.34435580940101,1015.5422998519919
73,52.71171679735226,1.2675044536590576,41.58700716607583,92.22864846238434
74,294.88607600572345,4.571346282958984,64.5074902999575,1026.191723888897
75,300.684849847128,8.061961889266968,37.29673421644861,1012.6065639239691
76,298.1256476229843,3.726344347000122,80.00485727063551,1054.7983666066802
77,77.73418917905629,1.6730196475982666,46.463404832482986,182.06621124988067
78,192.42191931825928,3.224701166152954,59.67124065260822,628.3500397910527
79,131.27282590624412,2.0425240993499756,64.26990308120287,394.7211058857321
80,132.33489454531457,2.108325958251953,62.76775848030423,408.9995793138162
81,276.2258970454657,4.300925970077515,64.2247504298446,942.4932891883361
82,24.895819895592158,0.8039684295654297,30.966166058347756,-16.58097631872674
83,288.8960029730925,3.4141554832458496,84.61711963347318,1020.225153855791
84,26.77600273261443,0.7654993534088135,34.97847857529771,-7.247115722125258
85,298.6738992734026,40.60076904296875,7.356360638324584,1039.0435889838952
86,266.0239484142602,3.2743544578552246,81.24470085273292,927.4604033341193
87,48.44655831942351,1.24137544631958,39.02651567908603,75.1112868879249
88,354.861874963136,4.736127614974976,74.9265864038613,1259.5004124378227
89,63.466806401983376,1.4582011699676514,43.52404024157471,132.6154293200261
90,74.17070163039129,1.3437113761901855,55.19838779715247,171.36232244181548
91,76.28343310227295,2.307988405227661,33.051913488598444,175.2496907228703
92,76.56874645443867,1.532353162765503,49.968080671593874,184.18494479613815
93,145.11421707895786,41.85124611854553,3.467381034913879,446.50753376068224
94,254.53947881471757,3.288095235824585,77.41244111224304,867.2788259584363
95,381.7393926358862,4.716500759124756,80.93699378662367,1367.6846189368418
96,292.1522937563523,3.8805325031280518,75.28665035555089,1019.3201083613249
97,78.2112402411062,1.8754029273986816,41.703699561560775,185.75674877569435
98,76.13652689827363,1.7113749980926514,44.48851185925278,176.8013829499618
99,77.54482126249124,1.6596195697784424,46.72445581781336,181.48053360878902
100,288.9882042183682,25.488404750823975,11.338026331719561,1008.68640947216
1,386.8758401447264,6.770338296890259,57.1427635045099,1382.0436084238247
2,78.89691671234456,1.552849292755127,50.807838906480434,190.38394181274077
3,167.42651114915748,2.9850246906280518,56.08881952461532,531.8651198067131
4,69.42998758864415,1.6881401538848877,41.12809438770005,151.00694096207803
5,78.61293731252267,1.5240521430969238,51.58152735691747,193.51996063509648
6,50.41377942224096,1.2099778652191162,41.66504270151378,81.14221063273061
7,72.89705361254819,1.5453240871429443,47.17266379204838,166.81467950337043
8,37.99218783797667,1.382091760635376,27.4889040800814,32.0980866720123
9,60.04189050357672,1.520036220550537,39.500302487417265,114.95651936198576
10,77.65122015431845,1.6821649074554443,46.161479061989766,186.02002095269347
11,70.71382232045052,1.6167795658111572,43.73745426759681,156.04279039708968
12,68.54043249602692,2.4841630458831787,27.590955678055817,142.30495706223053
13,47.07943259853631,1.4902467727661133,31.59170243405398,66.04535650484533
14,273.1928034340011,3.5862903594970703,76.17698960446494,945.2558938681207
15,72.82672900826408,1.9847030639648438,36.69401752359773,161.68342828824325
16,127.13021147409859,2.62943172454834,48.34893041230644,380.07692119509096
17,80.04637308995851,2.9459874629974365,27.171321702949204,183.80476811313468
18,81.9295999937302,1.736269474029541,47.187145324618115,205.08815425605985
19,79.58134881415722,1.554137945175171,51.206103718925284,197.0565456137398
20,73.50452433761019,1.6910874843597412,43.46583190841813,166.44751513833506
21,73.42099613112919,1.4354352951049805,51.148941635686576,168.00918021516208
22,293.1495711451623,4.066844940185547,72.08280016985049,1019.3720464204932
23,53.876715935090246,2.0500385761260986,26.280830303642183,87.79324497662819
24,72.1634144888279,1.6663360595703125,43.30663918263656,163.04927544520888
25,75.0914773120987,1.649717092514038,45.51779068838115,171.14144952329264
26,51.765885938368314,1.6346416473388672,31.668033187971904,85.26863376623334
27,57.665276415191464,1.4497320652008057,39.77650615543509,108.00934301545706
28,73.29755351193609,1.4360857009887695,51.039818488178994,167.9842832779293
29,98.38174317041718,1.805055856704712,54.50343423168173,272.2558911807634
30,72.00321994993884,1.4721620082855225,48.9098479275346,163.71412342032835
31,72.56135695154852,1.3832049369812012,52.4588620323401,166.0987656439401
32,68.75773356123372,1.8264460563659668,37.64564155704616,148.60464380669055
33,72.94115706138467,2.9209823608398438,24.971447290908173,154.72259944615166
34,77.76470105193364,1.7341632843017578,44.84277908308084,187.13713794073482
35,76.22667819663776,1.7612500190734863,43.27987359610486,177.893009070323
36,62.15565038185609,1.4290404319763184,43.49467586154771,125.22067352198579
37,75.4915360366612,1.499969482421875,50.32871463142793,177.5294022559097
38,75.74290967971822,1.53816556930542,49.242364535516806,179.19619360325333
39,74.72163446354426,1.4624674320220947,51.09285364408401,175.83363281785267
40,72.07902811527966,1.4719085693359375,48.96977272698307,161.10692626444478
41,80.1451205431733,1.8986079692840576,42.21256933488753,191.70880424534903
42,75.1383680416557,1.3180336952209473,57.00792651515631,177.45372298828465
43,100.08624961696236,1.9897098541259766,50.30193191706709,280.4418730275546
44,69.5831475557425,1.5908467769622803,43.73969169338321,152.78796527751024
45,68.14822673121401,13.7876615524292,4.942696516887391,148.91253720345506
46,75.88740312193964,14.950187921524048,5.076016670846205,179.21657269141744
47,77.95735283783146,1.5103309154510498,51.616074358479274,189.34384545321342
48,64.90857255592603,1.5249996185302734,42.56300904421341,137.48154729727273
49,78.85901940196308,2.881535768508911,27.367010419853205,190.57455666575248
50,216.74825206746428,15.665230989456177,13.836262753696476,747.180575023273
51,82.067015909077,2.8188109397888184,29.11405470677837,190.71020262585807
52,76.44982285666485,1.4364941120147705,53.219725870953496,184.92056448265714
53,218.3848763641463,4.435673236846924,49.23376107825835,733.8718729197881
54,30.56732886607083,0.9500300884246826,32.175116597366774,6.856714607705925
55,110.64797883063237,2.0087056159973145,55.08421838891314,314.72237342173565
56,71.12925167724988,1.4433462619781494,49.28079529562442,158.8153070745587
57,47.69803616997791,1.2689971923828125,37.587188101192474,73.21376749623622
58,20.95027973401208,0.8231122493743896,25.45251847477114,-30.65606809470995
59,115.10749885257641,2.824002265930176,40.76041306385498,325.7922621761218
60,25.654447095343702,0.8013079166412354,32.015716508676164,-13.647776157866218
61,67.27473068076615,1.3217883110046387,50.89675110656207,147.66477071158516
62,56.15975235263113,1.273012638092041,44.115628291642054,104.83531358048876
63,115.96684991781311,2.2340831756591797,51.908027051676974,333.0481235153356
64,29.05056125477726,1.0399119853973389,27.935596149204265,-1.9546165359754326
65,22.959122523334752,0.7534768581390381,30.470906007704002,-22.004973316412276
66,26.252549713796625,0.8096187114715576,32.42581889699679,-8.62498220701221
67,78.65186269976694,1.6751933097839355,46.950917389892965,186.6557655173196
68,74.08421195164996,1.4010648727416992,52.87707471152062,171.09381506999665
69,74.84252708665437,1.366973638534546,54.75052698667164,176.84519520495684
70,28.933001634080185,0.9135241508483887,31.671851923356535,-1.2270147901234338
71,74.80490857437962,1.4103009700775146,53.04180466547371,176.70600309067413
72,255.0413521102063,3.412053108215332,74.74718124877171,886.8156021089002
73,286.4534997154308,4.315309047698975,66.38076127321045,1002.7097988977262
74,23.29413164115265,6.470625877380371,3.599981220144853,-69.21147335111124
75,45.825346829455945,12.892590761184692,3.554393967690407,-36.127865704406105
76,75.08867934693212,1.654737949371338,45.377988324652584,177.00840994018552
