Episode,Distance (m),Time (s),Avg Speed (m/s),Total Reward
1,119.3075483842853,1.9699983596801758,60.562257728810785,342.7601616464288
2,21.69284805947323,1.1177189350128174,19.408142226045825,-33.401341962839524
3,96.86042556707444,2.166226387023926,44.713897932037625,256.42110118846864
4,133.2475875561466,2.666173219680786,49.977093225810734,395.5608038597868
5,104.11086832543472,1.9035537242889404,54.6928972883729,283.8143336978509
6,26.58739432931349,1.0319709777832031,25.76370353595252,-13.418062709307904
7,73.99606411149726,1.3397469520568848,55.23137335591075,171.65993164620602
8,104.89334887249166,1.729100227355957,60.663544665012665,291.18542402807265
9,131.6264418221625,1.795468807220459,73.3103472991723,393.66287704389083
10,132.29188721515953,2.1211605072021484,62.36769295203175,398.81106664736234
11,111.24209322045807,1.9049103260040283,58.39754853647784,313.6850452819569
12,132.99976449535063,2.047072172164917,64.97072565580059,396.0317318656127
13,131.55334322093253,2.116079092025757,62.168443380343774,391.0024939875057
14,132.18478708432775,2.0168094635009766,65.54153452595783,393.5707930341478
15,130.9381168930341,2.2497920989990234,58.2000963339195,389.2063706073368
16,133.08552467215435,2.0654284954071045,64.43482549412714,397.1041005943943
17,132.35047885354942,2.041884183883667,64.81781870792426,399.3775954008036
18,63.26146654717473,4.503874778747559,14.046009193170004,100.49223617342841
19,131.49036480878587,2.686485767364502,48.945118714617514,390.96441714456535
20,128.21472589683842,2.2450318336486816,57.11042666529171,378.504335664597
21,130.9286897196343,2.2569262981414795,58.01194741159722,389.54710170186235
22,101.02411887432564,1.8165206909179688,55.614075512277076,276.64126206739076
23,74.77234862766355,2.310960292816162,32.35553153383918,169.9558162954528
24,132.45348308446873,2.645369529724121,50.069936013167116,395.099990797167
25,134.34547359253017,1.99825119972229,67.23152405023004,404.47972498392596
26,78.4521341631721,2.133416175842285,36.77300990379842,181.43435512042925
27,132.155563101869,1.9384756088256836,68.17499405211915,395.0532109730039
28,43.84507051878728,1.1150543689727783,39.321015852508324,56.88539295790227
29,132.4051277784541,2.0846753120422363,63.51354909496406,399.0301335979091
30,45.10905695061208,1.1988534927368164,37.62683032072113,61.12763802453526
31,53.939050830590055,12.69621467590332,4.248435632784569,90.23464169321902
32,67.93049819586747,1.2778944969177246,53.15814283551225,152.02554104112306
33,133.3431858112338,1.9932467937469482,66.89747914284735,401.96426004133264
34,25.82651508393536,13.04989504814148,1.9790592176152006,-21.599096646183874
35,133.80123323370157,2.122446298599243,63.04104528911132,403.656199171008
36,49.52004767588094,12.68485403060913,3.903872094734934,73.54134830887674
37,95.7187995989838,1.4919395446777344,64.1572910514008,259.78916305514906
38,52.719619976159656,12.953521728515625,4.0699063220856555,86.58004087782547
39,74.48668438134561,1.4851012229919434,50.15596460912059,173.37284102850487
40,131.11461114284114,1.9768047332763672,66.32653642301385,392.28810144047156
41,133.70740246997315,1.857151746749878,71.99594901384272,403.96240896266613
42,129.84994243245242,2.139846086502075,60.68190756874162,384.7217947442156
43,132.53515864980503,1.9140937328338623,69.24172854042185,401.3708091157809
44,56.02244252876656,12.900317192077637,4.342718221159023,99.92172332748
45,34.7720047510103,13.112051248550415,2.6519119008823635,15.547186682478978
46,131.9011074151105,1.799659252166748,73.29226755359639,395.77063857642264
47,68.31667743621476,1.3783845901489258,49.56285634971701,152.17256651505835
48,120.12604082747791,1.8017561435699463,66.67164213990897,349.82353215810787
49,93.31393943980352,1.5434989929199219,60.45610646190084,244.9974728481243
50,132.8685303166985,1.9033408164978027,69.80806020919579,397.4956953067219
