State,Action,Reward,Next State
"[15, 12, 11, 10, 11, 12, 15]","[0.0, 0.3, 0.0]",-0.09999999999999964,"[15, 12, 11, 10, 11, 12, 15]"
"[15, 12, 11, 10, 11, 12, 15]","[0.0, 0.3, 0.0]",-0.09999999999999964,"[15, 12, 11, 10, 11, 12, 15]"
"[15, 12, 11, 10, 11, 12, 15]","[0.0, 0.3, 0.0]",-0.09999999999999964,"[16, 13, 12, 11, 12, 13, 15]"
"[16, 13, 12, 11, 12, 13, 15]","[-0.3, 0.3, 0.0]",-0.09999999999999964,"[16, 13, 12, 11, 12, 13, 16]"
"[16, 13, 12, 11, 12, 13, 16]","[0.0, 0.3, 0.0]",-0.09999999999999964,"[17, 13, 12, 11, 12, 13, 16]"
"[17, 13, 12, 11, 12, 13, 16]","[-0.3, 0.3, 0.0]",3.034796238244514,"[17, 14, 13, 12, 12, 13, 16]"
"[17, 14, 13, 12, 12, 13, 16]","[-0.3, 0.3, 0.0]",-0.09999999999999964,"[17, 14, 13, 12, 13, 14, 16]"
"[17, 14, 13, 12, 13, 14, 16]","[-0.3, 0.3, 0.0]",-0.09999999999999964,"[19, 14, 13, 12, 13, 14, 16]"
"[19, 14, 13, 12, 13, 14, 16]","[-0.3, 0.3, 0.0]",-0.09999999999999964,"[19, 16, 13, 12, 13, 14, 17]"
"[19, 16, 13, 12, 13, 14, 17]","[-0.3, 0.3, 0.0]",-0.09999999999999964,"[20, 16, 14, 13, 13, 14, 17]"
"[20, 16, 14, 13, 13, 14, 17]","[-0.3, 0.3, 0.0]",-0.09999999999999964,"[20, 16, 14, 13, 14, 14, 17]"
"[20, 16, 14, 13, 14, 14, 17]","[-0.3, 0.3, 0.0]",-0.09999999999999964,"[22, 17, 15, 13, 14, 15, 17]"
"[22, 17, 15, 13, 14, 15, 17]","[-0.3, 0.3, 0.0]",-0.09999999999999964,"[23, 18, 15, 14, 14, 16, 17]"
"[23, 18, 15, 14, 14, 16, 17]","[-0.3, 0.3, 0.0]",-0.09999999999999964,"[23, 18, 16, 14, 15, 16, 17]"
"[23, 18, 16, 14, 15, 16, 17]","[-0.3, 0.3, 0.0]",-0.09999999999999964,"[26, 19, 16, 15, 15, 16, 19]"
"[26, 19, 16, 15, 15, 16, 19]","[-0.3, 0.3, 0.0]",-0.09999999999999964,"[27, 20, 17, 15, 16, 17, 19]"
"[27, 20, 17, 15, 16, 17, 19]","[-0.3, 0.3, 0.0]",-0.09999999999999964,"[29, 21, 18, 16, 16, 17, 19]"
"[29, 21, 18, 16, 16, 17, 19]","[-0.3, 0.8, 0.0]",3.034796238244514,"[32, 22, 19, 17, 17, 18, 19]"
"[32, 22, 19, 17, 17, 18, 19]","[-0.3, 0.8, 0.0]",-0.09999999999999964,"[34, 24, 19, 17, 17, 18, 20]"
"[34, 24, 19, 17, 17, 18, 20]","[-0.3, 0.8, 0.0]",-0.09999999999999964,"[37, 26, 21, 18, 18, 19, 20]"
"[37, 26, 21, 18, 18, 19, 20]","[-0.3, 0.8, 0.0]",-0.09999999999999964,"[42, 28, 22, 19, 19, 19, 22]"
"[42, 28, 22, 19, 19, 19, 22]","[-0.3, 0.8, 0.0]",-0.09999999999999964,"[46, 31, 23, 20, 20, 20, 22]"
"[46, 31, 23, 20, 20, 20, 22]","[-0.3, 0.8, 0.0]",-0.09999999999999964,"[50, 33, 25, 22, 21, 21, 23]"
"[50, 33, 25, 22, 21, 21, 23]","[-0.3, 0.8, 0.0]",-0.09999999999999964,"[50, 36, 27, 23, 22, 22, 23]"
"[50, 36, 27, 23, 22, 22, 23]","[-0.3, 0.8, 0.0]",-0.09999999999999964,"[50, 40, 29, 25, 23, 23, 25]"
"[50, 40, 29, 25, 23, 23, 25]","[-0.3, 0.8, 0.0]",-0.09999999999999964,"[1, 1, 1, 27, 1, 1, 1]"
"[1, 1, 1, 27, 1, 1, 1]","[0.0, 0.3, 0.2]",3.034796238244514,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
"[1, 1, 1, 1, 1, 1, 1]","[-0.5, 0.3, 0.2]",-0.09999999999999964,"[1, 1, 1, 1, 1, 1, 1]"
